StartDate,EndDate,Progress,Duration__in_seconds_,RecordedDate,ResponseId,Consent,DS1_1,DS1_2,DS1_3,DS1_4,DS1_5,DS1_6,DS1_7,DS1_8,DS1_9,DS1_10,DS2_1,DS2_2,DS2_3,DS2_4,DS2_5,DS2_6,DS2_7,DS2_8,DS2_9,DS2_10,DS3_1,DS3_2,DS3_3,DS3_4,DS3_5,DS3_6,DS3_7,DS3_8,DS3_9,DS3_10,DS4_1,DS4_2,DS4_3,DS4_4,DS4_5,DS4_6,DS4_7,DS4_8,DS4_9,DS4_10,DS5_1,DS5_2,DS5_3,DS5_4,DS5_5,DS5_6,DS5_7,DS5_8,DS5_9,DS5_10,DS6_1,DS6_2,DS6_3,DS6_4,DS6_5,DS6_6,DS6_7,DS6_8,DS6_9,DS6_10,DS7_1,DS7_2,DS7_3,DS7_4,DS7_5,DS7_6,DS7_7,DS7_8,DS7_9,DS7_10,DS8_1,DS8_2,DS8_3,DS8_4,DS8_5,DS8_6,DS8_7,DS8_8,DS8_9,DS8_10,Gender,Gender_3_TEXT,Age,Nation,Edu,Latinx,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT
3/16/2021 5:30:37,3/16/2021 5:34:32,100,234,3/16/2021 5:34:32,R_2TRejpFUF2M7AeJ,1,1,5,5,5,5,1,1,1,4,1,4,5,4,3,5,4,5,4,5,5,7,5,5,5,4,7,5,7,2,7,5,4,4,5,4,5,4,5,4,4,4,5,4,5,4,5,5,4,4,5,4,5,5,5,4,6,4,5,5,5,5,5,3,4,5,5,4,4,5,2,5,5,3,4,4,5,5,3,4,5,1, ,27,84,21, , , , , , , , 
3/16/2021 5:30:36,3/16/2021 6:28:43,100,3486,3/16/2021 6:28:43,R_3egjEH2IofmEv1E,1,3,1,2,5,3,7,4,6,6,1,3,2,4,1,1,2,1,1,2,2,4,3,3,5,4,5,4,3,5,4,1,6,3,4,5,3,2,2,6,3,6,5,3,4,3,6,3,5,3,3,3,7,1,5,1,5,5,5,2,2,5,6,5,4,5,2,2,1,5,4,5,1,1,3,1,4,3,2,7,1,1, ,25,138,12, , , , , , , , 
3/16/2021 5:30:40,3/16/2021 5:42:16,100,695,3/16/2021 5:42:16,R_1P5KxTKoKnEsuHW,1,1,4,4,2,4,1,4,1,6,1,1,2,4,1,1,1,1,3,2,2,2,1,2,1,1,1,1,1,3,5,2,1,1,2,5,2,2,2,1,4,2,2,1,2,1,6,1,1,1,1,2,6,5,2,1,5,6,2,2,4,2,4,3,1,2,2,4,1,5,1,5,5,2,5,1,2,4,1,4,2,1, ,20,138,15, , , , , , , , 
3/16/2021 5:30:43,3/16/2021 5:56:22,100,1539,3/16/2021 5:56:23,R_3QPjbLAsO3iovQz,1,2,4,5,5,2,2,3,2,5,2,2,2,3,2,2,2,2,2,2,2,2,3,5,2,2,4,2,7,3,6,2,3,2,4,6,5,5,5,2,3,5,2,2,2,2,5,2,2,2,3,2,2,3,3,2,4,5,2,4,4,3,5,4,5,3,2,4,2,6,2,5,5,4,6,2,3,2,5,5,5,1, ,19,137,13, , , , , , , , 
3/16/2021 5:30:45,3/16/2021 5:38:49,100,484,3/16/2021 5:38:50,R_25LbtIetm2nOr46,1,3,5,5,5,5,3,2,6,3,3,3,6,5,2,3,3,2,5,6,2,5,5,6,5,6,6,5,6,4,5,5,5,4,6,2,5,7,6,5,5,3,2,2,5,6,5,5,5,5,5,6,5,6,5,2,3,3,2,7,7,5,6,5,6,5,2,3,6,3,5,2,5,5,6,3,2,6,5,3,2,1, ,26,67,17, , , , , , , , 
3/16/2021 5:30:47,3/16/2021 5:51:19,100,1231,3/16/2021 5:51:19,R_2D8CwBZFGI0N6sW,1,1,2,5,6,2,1,2,2,6,2,1,5,3,1,2,1,1,1,1,2,6,2,1,2,2,6,1,2,2,6,2,3,1,6,6,3,6,6,5,6,5,2,2,2,2,2,2,2,2,2,2,3,7,3,1,1,5,1,2,5,2,5,2,1,3,5,2,5,3,1,2,2,2,6,2,5,2,2,2,5,1, ,20,138,13, , , , , , , , 
3/16/2021 5:30:49,3/16/2021 5:48:03,100,1033,3/16/2021 5:48:04,R_3rYShfw80ZrDu8A,1,5,6,6,5,6,2,1,4,6,5,1,7,7,2,1,1,1,1,1,2,6,3,5,3,3,1,2,7,6,3,1,2,1,7,6,2,7,5,5,4,6,1,2,5,2,6,3,1,1,3,5,6,6,2,3,5,6,1,5,5,5,7,3,6,2,3,4,2,4,2,4,7,3,7,6,3,3,5,5,3,2, ,19,67,14, , , , , , , , 
3/16/2021 5:30:52,3/16/2021 5:47:25,100,992,3/16/2021 5:47:25,R_1DYzktxUKmgGNB9,1,5,5,5,4,5,3,5,3,6,5,3,4,3,3,3,4,3,4,4,3,5,5,2,5,3,2,2,5,5,4,5,5,2,4,5,5,4,5,4,5,5,4,3,5,5,5,3,3,3,5,4,5,5,3,5,4,5,3,5,5,5,5,5,3,3,5,4,4,5,3,5,5,5,6,3,5,5,5,6,4,2, ,22,137,15, , , , , , , , 
3/16/2021 5:31:30,3/16/2021 6:15:16,100,2626,3/16/2021 6:15:16,R_1eJpSTUoMyR8T0b,1,2,5,5,6,2,2,2,3,3,3,2,5,4,1,2,1,1,1,1,3,2,3,5,2,5,5,4,5,5,4,2,4,2,5,5,5,6,3,3,3,5,5,3,4,3,5,4,3,3,2,4,4,5,3,5,3,5,5,3,5,4,5,5,3,2,5,5,2,2,2,3,3,2,7,1,4,5,6,6,4,1, ,21,137,14, , , , , , , , 
3/16/2021 5:31:48,3/16/2021 5:46:43,100,894,3/16/2021 5:46:43,R_3suXupwCe3JbLDz,1,2,3,4,3,3,1,1,3,4,2,1,3,5,2,2,2,2,1,2,1,1,4,1,2,2,2,1,5,1,4,4,5,1,4,6,6,6,5,5,4,5,1,1,2,4,6,1,4,4,4,4,2,6,3,2,4,4,1,3,5,4,5,2,2,4,1,1,5,6,2,4,1,5,5,1,1,2,5,5,5,1, ,23,138,20, , , , , , , , 
3/16/2021 5:31:44,3/16/2021 5:45:01,100,796,3/16/2021 5:45:01,R_1rCbeSCEJ55IoUe,1,1,1,3,2,1,1,3,2,6,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,2,2,3,2,3,5,5,5,3,2,3,2,5,1,2,1,2,1,2,1,2,2,6,5,2,2,6,6,3,5,5,2,5,3,2,2,2,6,2,5,2,5,3,5,3,1,3,2,5,4,5,2, ,43,138,17, , , , , , , , 
3/16/2021 5:33:49,3/16/2021 6:01:33,100,1663,3/16/2021 6:01:33,R_2cAFdI9X2AnBZ5M,1,4,4,4,5,4,2,6,1,5,4,1,1,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,5,1,1,5,5,5,5,1,5,5,6,2,4,3,4,1,1,1,1,1,3,6,5,4,4,6,4,4,5,5,5,5,4,5,1,4,1,4,1,7,5,1,3,1,5,3,1,5,5,2, ,27,137,16, , , , , , , , 
3/16/2021 5:31:19,3/16/2021 5:40:02,100,523,3/16/2021 5:40:03,R_1d61mhDUT1QVsqt,1,4,3,4,6,3,1,2,2,5,3,3,4,3,5,3,1,3,4,4,4,2,4,3,3,2,3,2,6,2,5,3,3,1,2,3,4,2,2,2,4,3,4,3,4,3,3,3,4,4,5,4,3,4,3,4,3,4,4,4,3,4,3,2,3,3,2,6,4,4,2,5,4,5,5,2,4,4,3,3,5,1, ,20,138,14, , , , , , , , 
3/16/2021 5:31:38,3/16/2021 5:51:32,100,1193,3/16/2021 5:51:32,R_3nuejEerFdVQFxC,1,3,5,3,5,6,5,2,3,2,3,2,6,5,2,5,3,3,2,3,3,5,7,4,6,6,5,5,6,6,3,7,6,2,6,2,5,6,5,5,7,5,1,2,5,7,2,2,5,5,6,6,5,7,5,2,2,5,2,6,7,6,7,5,6,5,1,6,7,1,5,4,2,6,5,3,2,7,5,3,6,2, ,22,185,16, , , , , , , , 
3/16/2021 5:31:27,3/16/2021 5:36:14,100,287,3/16/2021 5:36:14,R_2dpbMLQZwAy25n9,1,3,6,5,3,4,1,5,5,3,4,6,5,5,6,4,6,5,3,4,3,5,5,6,6,6,5,4,3,4,6,4,6,5,5,5,5,3,4,5,5,4,5,4,5,4,3,4,5,4,4,5,3,6,5,5,5,6,3,4,5,5,3,5,4,5,4,3,5,5,4,4,4,6,6,5,4,5,6,6,6,2, ,19,163,14, , , , , , , , 
3/16/2021 5:31:37,3/16/2021 5:43:07,100,690,3/16/2021 5:43:07,R_1CyBz7BziL8S0yw,1,2,5,5,5,3,1,2,3,5,5,2,2,5,5,5,1,2,2,2,1,2,5,2,3,3,2,1,5,5,6,1,3,3,5,5,5,3,5,2,5,6,6,1,2,5,5,2,5,6,3,5,6,5,5,2,2,3,2,5,3,3,6,5,5,5,5,5,2,6,5,5,3,5,5,2,5,3,3,5,5,1, ,23,138,13, , , , , , , , 
3/16/2021 5:31:46,3/16/2021 5:36:52,100,305,3/16/2021 5:36:52,R_2P1ny5dFaPG8ZAA,1,2,1,1,1,1,1,6,1,5,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,6,1,4,1,6,1,1,1,1,4,2,5,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1, ,18,137,12, , , , , , , , 
3/16/2021 5:32:16,3/16/2021 5:45:19,100,782,3/16/2021 5:45:19,R_3OcTSPoyMJolf7K,1,2,4,5,5,5,6,5,3,4,3,1,2,5,1,2,1,1,1,2,1,5,3,1,2,4,5,1,7,5,4,4,3,1,2,6,5,7,5,2,6,5,5,2,4,2,5,1,1,1,2,2,6,5,2,3,1,5,2,5,7,5,7,6,7,5,6,7,5,6,1,7,6,7,7,2,3,6,5,7,7,2, ,20,158,18, , , , , , , , 
3/16/2021 5:31:53,3/16/2021 5:42:56,100,662,3/16/2021 5:42:56,R_3Ia95n3IRIZeOUd,1,1,1,2,1,1,1,1,1,6,1,1,2,3,1,2,1,1,1,1,2,2,1,2,1,1,6,1,7,2,1,1,1,1,1,7,6,4,3,1,7,3,1,1,2,1,4,1,1,1,1,1,3,1,2,2,7,7,1,6,7,7,6,6,1,1,1,7,1,7,1,7,7,4,6,1,5,1,1,6,7,2, ,25,123,12, , , , , , , , 
3/16/2021 5:31:48,3/16/2021 5:36:03,100,254,3/16/2021 5:36:03,R_2uVfuAn253uTpyU,1,5,5,3,5,5,6,6,6,4,6,4,6,5,5,5,5,5,6,6,5,5,5,5,6,4,7,5,5,4,4,6,3,5,5,3,4,4,6,4,5,6,5,5,3,6,7,6,4,6,5,4,3,5,5,6,4,5,5,4,5,3,5,5,2,3,6,5,5,4,2,4,3,4,5,5,5,4,5,7,5,1, ,18,137,12, , , , , , , , 
3/16/2021 5:31:57,3/16/2021 5:37:47,100,350,3/16/2021 5:37:48,R_10NNn3uoH1xX4Li,1,1,1,1,6,1,1,1,1,5,1,2,3,1,2,5,1,1,1,1,5,1,2,2,1,5,7,1,7,3,1,4,2,1,1,3,1,3,3,3,5,1,2,2,2,2,4,1,2,2,3,6,2,5,3,1,2,5,1,5,5,6,3,5,1,6,1,1,2,4,1,3,2,4,6,2,1,1,4,6,6,2, ,37,185,13, , , , , , , , 
3/16/2021 5:31:57,3/16/2021 5:47:44,100,946,3/16/2021 5:47:44,R_2dLMmvNUgAyEr24,1,1,2,5,5,2,1,2,2,6,2,2,3,5,2,2,2,2,2,3,3,2,4,2,2,2,2,2,5,2,5,3,2,2,4,4,6,6,7,3,4,3,2,1,2,2,4,2,2,2,2,3,3,5,4,2,4,4,2,2,4,3,4,2,2,2,2,3,4,6,2,4,5,2,5,2,2,4,2,2,2,1, ,29,137,20, , , , , , , , 
3/16/2021 5:32:04,3/16/2021 5:47:25,100,920,3/16/2021 5:47:25,R_WcaV40SYjhGlRkJ,1,4,3,1,6,5,7,2,1,7,2,1,5,3,1,5,1,1,1,3,3,4,7,2,1,4,7,1,2,3,4,1,1,1,4,6,5,2,7,1,3,4,1,1,1,1,5,1,1,1,1,4,6,6,3,1,4,4,3,7,7,5,5,2,4,1,1,6,1,2,1,7,7,5,5,1,4,4,2,6,7,1, ,21,161,14, , , , , , , , 
3/16/2021 5:32:03,3/16/2021 5:42:17,100,613,3/16/2021 5:42:17,R_27r3WaKiEyqa99Y,1,1,1,5,5,1,1,4,1,6,1,1,6,3,2,3,1,1,1,4,2,3,1,6,1,5,2,2,6,3,5,7,5,1,7,2,3,2,4,2,5,5,2,1,3,2,2,1,4,2,2,3,5,6,6,2,4,5,2,5,5,5,5,3,5,2,4,6,5,6,1,5,5,1,5,2,4,2,5,7,4,1, ,27,137,17, , , , , , , , 
3/16/2021 5:32:21,3/16/2021 6:24:09,100,3108,3/16/2021 6:24:10,R_1K3zENrq1hShILV,1,1,2,6,1,4,1,1,1,7,3,1,5,5,1,1,1,1,4,1,6,5,1,2,2,4,6,2,7,3,6,4,4,1,2,2,4,3,5,1,6,3,2,2,5,4,6,3,4,4,4,2,4,4,2,2,6,2,1,6,6,2,6,2,2,4,1,6,3,4,1,5,4,5,7,2,2,6,2,5,3,2, ,27,138,18, , , , , , , , 
3/16/2021 5:32:34,3/16/2021 5:44:21,100,706,3/16/2021 5:44:21,R_1ruWkhrN6Fth71k,1,5,6,4,6,7,3,2,5,2,5,5,5,6,4,5,5,5,6,4,4,6,6,6,7,6,6,4,7,5,6,7,6,3,5,4,6,6,6,6,5,6,2,4,5,6,4,5,3,5,5,7,6,6,6,2,5,6,2,5,5,6,6,6,6,7,4,6,4,6,3,4,3,4,6,5,5,4,5,6,5,1, ,20,163,15, , , , , , , , 
3/16/2021 5:32:25,3/16/2021 5:45:42,100,796,3/16/2021 5:45:42,R_xfLeId4F9ZaO10Z,1,4,4,3,4,4,5,4,4,5,3,4,5,4,5,3,3,4,4,5,4,4,4,3,4,4,6,2,4,4,4,2,4,4,5,4,4,6,4,3,4,3,2,4,4,5,4,4,4,5,4,4,5,4,3,4,4,3,3,4,4,5,4,5,4,2,6,4,4,4,3,4,4,3,5,4,4,4,4,5,4,1, ,20,138,14, , , , , , , , 
3/16/2021 5:32:25,3/16/2021 6:07:52,100,2126,3/16/2021 6:07:53,R_YXh9ZuSJ58KNULn,1,1,1,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,3,4,3,4,2,5,2,5,4,3,1,2,1,5,1,2,2,1,1,2,2,2,2,2,2,2,3,2,3,2,5,5,5,5,2,4,5,2,6,6,2,2,2,2,2,2,2,5,2,1,2,3,3,5,1,2,2,3,7,1,1, ,20,137,13, , , , , , , , 
3/16/2021 5:32:38,3/16/2021 5:36:39,100,241,3/16/2021 5:36:40,R_22EAbOewEIUxiPt,1,2,6,2,7,6,6,5,4,2,4,2,4,4,5,7,3,5,5,6,6,3,5,2,5,3,5,4,5,2,5,6,3,2,5,3,4,5,4,3,6,6,4,5,6,5,4,3,5,5,4,1,7,5,5,3,3,4,3,6,6,3,2,1,1,6,6,5,6,5,5,5,3,3,3,1,6,4,5,5,6,1, ,18,137,13, , , , , , , , 
3/16/2021 5:32:48,3/16/2021 5:37:04,100,255,3/16/2021 5:37:04,R_2uBORw1jmxysegb,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,3,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,3,4,5,5,6,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2, ,25,138,18, , , , , , , , 
3/16/2021 5:33:40,3/16/2021 5:46:15,100,755,3/16/2021 5:46:15,R_2Sxa9s1anoBLaOt,1,1,1,1,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,7,1,5,2,7,1,5,2,7,6,2,5,1,5,3,7,2,1,1,1,6,1,1,1,1,1,1,7,5,1,6,6,1,1,1,1,5,1,1,1,2,1,6,1,1,1,3,1,5,1,1,1,1,1,1,1, ,19,137,12, , , , , , , , 
3/16/2021 5:32:55,3/16/2021 5:48:23,100,927,3/16/2021 5:48:23,R_A0WtgQy3kD2pQjf,1,4,4,5,5,3,3,3,3,4,5,3,5,5,2,4,3,3,4,4,5,7,5,6,5,3,7,6,7,7,6,5,4,2,2,7,5,5,4,3,6,5,2,2,3,6,5,2,2,2,1,5,6,6,5,4,4,5,1,6,6,3,7,6,3,3,2,6,5,4,3,4,5,7,7,2,2,5,4,6,5,2, ,23,185,19, , , , , , , , 
3/16/2021 5:39:23,3/16/2021 6:03:01,100,1418,3/16/2021 6:03:01,R_NUx7Yst4BX0LgfD,1,4,5,5,5,3,4,5,3,4,3,1,5,4,3,5,1,1,5,4,4,4,4,2,4,3,5,4,5,4,3,3,3,3,4,4,3,4,4,5,3,3,4,1,5,4,4,3,4,4,3,6,5,6,3,4,3,4,2,4,4,4,5,4,4,4,3,7,3,3,4,5,6,4,4,4,5,4,6,7,4,2, ,21,67,14, , , , , , , , 
3/16/2021 5:32:49,3/16/2021 5:42:56,100,607,3/16/2021 5:42:56,R_2f2wfYkeLCcam5R,1,2,2,6,6,2,4,6,2,4,5,2,5,5,1,1,1,1,2,1,2,2,5,2,2,2,1,2,5,2,6,5,6,1,4,6,5,6,6,4,5,6,4,1,2,2,4,2,1,1,2,2,4,2,2,2,4,6,4,1,5,4,3,2,1,4,1,5,2,6,2,6,5,2,6,2,2,5,2,5,5,1, ,29,76,21, , , , , , , , 
3/16/2021 5:32:54,3/16/2021 5:46:58,100,843,3/16/2021 5:46:59,R_RXCcbayE6SvnOb7,1,6,6,6,6,5,2,5,4,4,6,6,5,4,5,4,4,4,5,5,6,5,4,5,5,4,6,1,6,5,5,6,4,3,6,4,6,6,7,3,6,6,2,3,5,3,6,3,4,4,4,5,2,6,3,5,4,6,1,5,7,3,6,5,6,3,6,4,5,5,3,5,6,5,7,2,6,7,5,6,4,2, ,20,84,14, , , , , , , , 
3/16/2021 5:32:50,3/16/2021 5:49:42,100,1011,3/16/2021 5:49:42,R_2U2Ukvg7sQmuZ1K,1,2,3,1,5,7,5,5,5,3,5,1,6,7,6,2,5,5,3,3,7,5,5,6,3,5,2,2,1,3,5,6,7,1,6,3,3,3,1,5,1,2,1,3,4,3,3,3,7,5,3,7,3,6,7,2,3,5,5,7,6,5,6,6,6,5,5,6,7,5,7,3,3,5,6,3,5,2,5,5,5,2, ,23,137,17, , , , , , , , 
3/16/2021 5:32:55,3/16/2021 5:43:13,100,617,3/16/2021 5:43:13,R_O8BOlQTd4hkmBJ7,1,2,1,2,7,1,1,2,1,6,1,1,1,5,2,1,1,1,1,5,6,1,3,2,1,2,1,1,3,1,2,3,1,1,4,7,5,6,5,6,6,5,4,2,1,1,6,1,2,3,2,3,2,7,4,1,4,6,2,5,5,4,3,3,5,1,1,6,7,7,2,4,5,2,7,1,4,4,5,3,6,1, ,25,84,16, , , , , , , , 
3/16/2021 5:33:05,3/16/2021 5:59:52,100,1607,3/16/2021 5:59:53,R_2V8Bzy3Js8qu3rz,1,2,3,3,2,1,1,1,1,6,1,1,1,6,1,5,1,1,1,1,2,1,5,2,1,2,1,1,6,5,6,2,1,1,7,7,3,6,5,2,6,3,1,1,1,1,1,1,1,1,1,2,4,5,2,1,2,6,1,1,2,2,6,2,5,5,1,4,1,5,1,3,5,1,1,1,1,2,5,3,6,1, ,64,31,22, , , , , , , , 
3/16/2021 5:32:59,3/16/2021 5:41:36,100,517,3/16/2021 5:41:36,R_1d4UfR9D2ZxsMhE,1,5,2,5,5,4,5,2,4,4,4,4,5,4,5,5,4,4,5,5,6,4,2,6,6,5,4,6,6,5,6,3,5,5,4,5,4,5,4,4,5,4,2,2,4,4,2,5,5,4,6,5,5,4,4,5,5,6,2,5,5,5,6,5,4,6,2,5,6,4,5,2,6,6,5,4,4,5,4,4,5,1, ,21,138,14, , , , , , , , 
3/16/2021 5:34:33,3/16/2021 5:53:43,100,1149,3/16/2021 5:53:43,R_1Lk7rslNefu1odo,1,4,4,5,3,4,4,3,5,4,3,2,5,2,2,3,2,2,3,2,4,2,1,1,3,5,3,1,5,1,6,3,2,3,5,4,3,6,4,5,5,3,1,2,3,5,2,2,4,2,1,3,5,2,2,4,4,4,2,1,5,4,5,5,4,4,4,4,2,4,2,4,5,4,5,1,2,4,3,6,3,2, ,21,84,16, , , , , , , , 
3/16/2021 5:33:04,3/16/2021 5:42:49,100,584,3/16/2021 5:42:50,R_1gqdrdPIJUDUKHp,1,1,1,1,5,1,1,4,1,6,1,1,5,4,1,1,1,1,1,1,6,1,1,2,1,1,5,5,6,1,1,5,6,1,1,6,6,6,6,1,7,4,4,4,3,1,3,1,1,1,1,2,6,6,7,5,2,6,1,7,7,5,6,1,4,1,5,7,5,3,1,6,7,6,6,1,6,2,6,7,6,2, ,21,84,17, , , , , , , , 
3/16/2021 5:33:05,3/16/2021 5:35:48,100,162,3/16/2021 5:35:48,R_a5fz9KTVetOHKiR,1,2,6,6,6,5,3,3,3,4,3,7,2,3,4,4,6,7,7,6,7,5,3,4,4,4,6,4,5,4,7,4,7,7,1,5,4,4,7,6,4,3,6,4,7,6,7,5,6,4,3,2,6,6,3,4,3,5,1,2,6,4,3,6,5,2,5,4,3,3,6,7,7,2,5,7,4,4,3,5,4,1, ,20,163,17, , , , , , , , 
3/16/2021 5:33:08,3/16/2021 5:47:15,100,846,3/16/2021 5:47:16,R_2YmOQqqEgGWPSsC,1,1,2,4,6,6,3,6,1,5,4,1,2,6,1,1,1,1,1,1,1,4,5,5,2,4,3,1,6,1,4,5,7,1,5,3,4,6,5,1,7,7,4,5,7,6,4,7,4,3,2,4,7,2,4,5,6,7,5,7,7,6,7,7,5,3,2,4,5,3,2,7,3,1,7,2,2,7,7,7,4,2, ,29,84,15, , , , , , , , 
